,iptat_intercept,iptat_slope,iptat_rvalue,vctat_intercept,vctat_slope,vctat_rvalue,i_act_25,i_leak_25,name,type,time,OK
0,2.518557471200012,0.005503173124935369,0.9999229763791421,738.1350083378883,-1.7747580978268902,-0.9999729003618224,49.92642,0.6463472,tran_LayGtKttmmTtVt_29,Lay,Thu Apr 16 17:31:41 2026,False
1,2.2113788904876572,0.0063880676456249735,0.9998549692865328,747.1179366488898,-1.7646754236161382,-0.9999722327220216,50.52462,0.5984531,tran_LayGtKttmmTtVt_28,Lay,Thu Apr 16 17:31:41 2026,False
2,1.7085156752005437,0.006010963747026929,0.9998203093798579,741.1366971680137,-1.7693626375736806,-0.9999703814958567,51.54969,0.6002401,tran_LayGtKttmmTtVt_27,Lay,Thu Apr 16 17:31:41 2026,False
3,2.2403371091873368,0.0060379966317531154,0.9998412973398544,746.6083713506965,-1.7670839491217454,-0.999972038272888,51.86679,0.6010122,tran_LayGtKttmmTtVt_26,Lay,Thu Apr 16 17:31:41 2026,False
4,2.8549211404322588,0.0049530445110871485,0.9998712987343813,752.3023148055133,-1.7666372176507967,-0.9999709961942979,53.607879999999994,0.6073718,tran_LayGtKttmmTtVt_25,Lay,Thu Apr 16 17:31:41 2026,False
5,3.0624362258202713,0.004208702545390081,0.9999982258407084,747.6058687166683,-1.773603919280259,-0.9999729705992633,52.56686,0.6415389,tran_LayGtKttmmTtVt_24,Lay,Thu Apr 16 17:31:41 2026,False
6,3.6475033296302315,0.004052853584671522,0.9999558962745839,760.1222927050864,-1.764166355940967,-0.9999709250459967,55.8172,0.6128702,tran_LayGtKttmmTtVt_23,Lay,Thu Apr 16 17:31:41 2026,False
7,2.836646270168855,0.005790022514071294,0.9995533268366891,755.6372269430204,-1.7629285946433055,-0.9999690109931282,54.59946,0.6053771,tran_LayGtKttmmTtVt_22,Lay,Thu Apr 16 17:31:41 2026,False
8,1.6396151265456265,0.006038245453605355,0.9998690373796567,739.5174061470506,-1.7663929916827932,-0.999970801372594,50.80384,0.5931487,tran_LayGtKttmmTtVt_21,Lay,Thu Apr 16 17:31:41 2026,False
9,2.064405220014478,0.005667078045825884,0.9998717952049445,752.4594414737558,-1.76802055960172,-0.9999720206798105,52.44431,0.5777796000000001,tran_LayGtKttmmTtVt_20,Lay,Thu Apr 16 17:31:41 2026,False
