,iptat_intercept,iptat_slope,iptat_rvalue,vctat_intercept,vctat_slope,vctat_rvalue,i_act_25,i_leak_25,name,type,time,OK
0,2.50412428701009,0.005818055413570494,0.9999839896996883,750.6909436306155,-1.7592198549290157,-0.9999753815884602,53.77107,9.030803,tran_LayGtKfsTlVh,Lay,Thu Apr 16 17:21:13 2026,False
1,2.359269692292919,0.005886901523097609,0.9997698658191433,750.3182116086334,-1.769732234713626,-0.9999701271956001,58.317930000000004,0.4855878,tran_LayGtKsfTlVh,Lay,Thu Apr 16 17:21:13 2026,False
2,2.811166008701304,0.006285233664741251,0.9998662510197794,749.8878908052769,-1.7717997163581574,-0.9999726148287251,66.33191,0.7379238,tran_LayGtKffTlVh,Lay,Thu Apr 16 17:21:13 2026,False
3,2.119624719815042,0.005399594761489712,0.9997886681170574,751.1276271158648,-1.7501764148852874,-0.9999694766257823,48.28591,0.4756501,tran_LayGtKssTlVh,Lay,Thu Apr 16 17:21:13 2026,False
4,2.50412428701009,0.005818055413570494,0.9999839896996883,750.6909436306155,-1.7592198549290157,-0.9999753815884602,53.77107,9.030803,tran_LayGtKfsThVh,Lay,Thu Apr 16 17:21:13 2026,False
5,2.359269692292919,0.005886901523097609,0.9997698658191433,750.3182116086334,-1.769732234713626,-0.9999701271956001,58.317930000000004,0.4855878,tran_LayGtKsfThVh,Lay,Thu Apr 16 17:21:13 2026,False
6,2.811166008701304,0.006285233664741251,0.9998662510197794,749.8878908052769,-1.7717997163581574,-0.9999726148287251,66.33191,0.7379238,tran_LayGtKffThVh,Lay,Thu Apr 16 17:21:13 2026,False
7,2.119624719815042,0.005399594761489712,0.9997886681170574,751.1276271158648,-1.7501764148852874,-0.9999694766257823,48.28591,0.4756501,tran_LayGtKssThVh,Lay,Thu Apr 16 17:21:13 2026,False
8,2.5066919549127658,0.005651371570814439,0.9999888586894727,750.6496867294028,-1.7593618014211636,-0.9999757460670516,45.98877,3.684143,tran_LayGtKfsTlVl,Lay,Thu Apr 16 17:21:13 2026,False
9,2.3615070506271136,0.005763941882968195,0.9997563105691292,750.3011685733702,-1.7702437606181034,-0.9999700644455121,48.7475,0.4947791,tran_LayGtKsfTlVl,Lay,Thu Apr 16 17:21:13 2026,False
10,2.8163396643719247,0.006090241716033149,0.9998684480679085,749.8542700418074,-1.772370541135454,-0.9999727341161635,56.30696,0.8032436999999999,tran_LayGtKffTlVl,Lay,Thu Apr 16 17:21:13 2026,False
11,2.1196632431194695,0.0052953266904019755,0.9998092057827248,751.1004528785215,-1.7503579294145448,-0.9999698988411083,40.888,0.4871563,tran_LayGtKssTlVl,Lay,Thu Apr 16 17:21:13 2026,False
12,2.5066919549127658,0.005651371570814439,0.9999888586894727,750.6496867294028,-1.7593618014211636,-0.9999757460670516,45.98877,3.684143,tran_LayGtKfsThVl,Lay,Thu Apr 16 17:21:13 2026,False
13,2.3615070506271136,0.005763941882968195,0.9997563105691292,750.3011685733702,-1.7702437606181034,-0.9999700644455121,48.7475,0.4947791,tran_LayGtKsfThVl,Lay,Thu Apr 16 17:21:13 2026,False
14,2.8163396643719247,0.006090241716033149,0.9998684480679085,749.8542700418074,-1.772370541135454,-0.9999727341161635,56.30696,0.8032436999999999,tran_LayGtKffThVl,Lay,Thu Apr 16 17:21:13 2026,False
15,2.1196632431194695,0.0052953266904019755,0.9998092057827248,751.1004528785215,-1.7503579294145448,-0.9999698988411083,40.888,0.4871563,tran_LayGtKssThVl,Lay,Thu Apr 16 17:21:13 2026,False
