,iptat_intercept,iptat_slope,iptat_rvalue,vctat_intercept,vctat_slope,vctat_rvalue,name,type,time,OK
0,59.71442041413583,0.6291463989296182,0.9888365312063342,736.0490950303699,1.2456047513061208,0.9878718689699377,tran_SchGtKttmmTtVt_29,Sch,Fri Feb 13 10:14:32 2026,False
1,59.925465919381544,0.6476287440852907,0.98939026452209,737.4445553837659,1.2443870322388821,0.988085807556891,tran_SchGtKttmmTtVt_28,Sch,Fri Feb 13 10:14:32 2026,False
2,57.1043686140254,0.6365750977360574,0.9897757259426785,735.9261210381005,1.237649681009217,0.9875463493557621,tran_SchGtKttmmTtVt_27,Sch,Fri Feb 13 10:14:32 2026,False
3,63.88233468249585,0.6373486069744723,0.9885805742979544,735.7325982330204,1.2488439799515783,0.9881644337492583,tran_SchGtKttmmTtVt_26,Sch,Fri Feb 13 10:14:32 2026,False
4,62.79421901711761,0.6185263003865268,0.9883469615025754,736.0227887355052,1.255715179883617,0.9883634106701793,tran_SchGtKttmmTtVt_25,Sch,Fri Feb 13 10:14:32 2026,False
5,63.146950993926005,0.5605182805080067,0.9906389185562174,736.0702921590282,1.2869291033428196,0.9901362562799622,tran_SchGtKttmmTtVt_24,Sch,Fri Feb 13 10:14:32 2026,False
6,57.119343655438975,0.6658973530136346,0.9901884818207639,735.74545935947,1.2272069235016776,0.9871787908259326,tran_SchGtKttmmTtVt_23,Sch,Fri Feb 13 10:14:32 2026,False
7,61.03875844837106,0.6116565381642102,0.9885932409765171,735.9621396466041,1.2579392575287773,0.9883810286467657,tran_SchGtKttmmTtVt_22,Sch,Fri Feb 13 10:14:32 2026,False
8,62.47909398122583,0.6311746432485239,0.9885575791416279,736.048250524572,1.2550729771057214,0.9884886095541915,tran_SchGtKttmmTtVt_21,Sch,Fri Feb 13 10:14:32 2026,False
9,64.74014977360574,0.5947330147389882,0.9886914584686527,737.4034640530093,1.2727230344476064,0.9893515682521621,tran_SchGtKttmmTtVt_20,Sch,Fri Feb 13 10:14:32 2026,False
10,58.76680672004417,0.6530771666312704,0.9894565650701738,736.2053489232469,1.2375656704753009,0.9877374727127026,tran_SchGtKttmmTtVt_19,Sch,Fri Feb 13 10:14:32 2026,False
11,62.29873155162895,0.578481307989636,0.9887045501566214,737.0049849806736,1.2770069065114897,0.9893894118869464,tran_SchGtKttmmTtVt_18,Sch,Fri Feb 13 10:14:32 2026,False
12,51.984054483710665,0.6306673816421017,0.9909247220158487,739.3326326339039,1.2400903895000641,0.9883005751335712,tran_SchGtKttmmTtVt_17,Sch,Fri Feb 13 10:14:32 2026,False
13,57.803747609055776,0.6754043901796714,0.9898880018779393,734.8513504141357,1.2218302450834644,0.9869998122943101,tran_SchGtKttmmTtVt_16,Sch,Fri Feb 13 10:14:32 2026,False
14,60.714328199889565,0.6346334680372084,0.9887794139253163,737.2593878520155,1.2524379390901754,0.9883568096219573,tran_SchGtKttmmTtVt_15,Sch,Fri Feb 13 10:14:32 2026,False
15,57.62074166206516,0.7032340400118932,0.9905281912882864,734.4484450579789,1.211808511234762,0.9872562859353319,tran_SchGtKttmmTtVt_14,Sch,Fri Feb 13 10:14:32 2026,False
16,63.596858045278864,0.6511762585906637,0.9887871531494707,735.3935545002761,1.2465974837531326,0.9880660501091374,tran_SchGtKttmmTtVt_13,Sch,Fri Feb 13 10:14:32 2026,False
17,68.95734241303148,0.5471430793017034,0.9891973873750705,737.7871496963004,1.2977924869387927,0.9906160244351206,tran_SchGtKttmmTtVt_12,Sch,Fri Feb 13 10:14:32 2026,False
18,65.63155565433463,0.5917180333857197,0.9885803752758965,734.3431169519602,1.2759885961857027,0.989219525155258,tran_SchGtKttmmTtVt_11,Sch,Fri Feb 13 10:14:32 2026,False
19,58.187857885146336,0.6311224510045449,0.9897405103426387,738.3027135836554,1.2489375771991678,0.9883224332305348,tran_SchGtKttmmTtVt_10,Sch,Fri Feb 13 10:14:32 2026,False
20,60.63799612368858,0.6297901060187742,0.9886819463963328,736.5395766979569,1.2544496971498962,0.9882686556892732,tran_SchGtKttmmTtVt_9,Sch,Fri Feb 13 10:14:32 2026,False
21,65.5610601490889,0.6456567651531241,0.9880341218522478,734.4213222528989,1.2482028101771228,0.9878607222713619,tran_SchGtKttmmTtVt_8,Sch,Fri Feb 13 10:14:32 2026,False
22,68.54361116510215,0.6293540536040437,0.9883848243970438,735.7809962451684,1.258887111243257,0.9886398317722135,tran_SchGtKttmmTtVt_7,Sch,Fri Feb 13 10:14:32 2026,False
23,60.06218813362784,0.6505190595930849,0.9901450956358204,736.6125905577028,1.2433156428662449,0.9879918347601608,tran_SchGtKttmmTtVt_6,Sch,Fri Feb 13 10:14:32 2026,False
24,60.36666839867477,0.6514613087541945,0.9894341730051476,736.8809213694091,1.2440286463067582,0.9883543188094744,tran_SchGtKttmmTtVt_5,Sch,Fri Feb 13 10:14:32 2026,False
25,60.77952689122032,0.6303838628042305,0.989477694769559,736.9682041413583,1.2506547585269503,0.9882859022646239,tran_SchGtKttmmTtVt_4,Sch,Fri Feb 13 10:14:32 2026,False
26,54.582027023743784,0.6434371412309393,0.9901906942808382,736.9103709000552,1.2309754967506266,0.9876281956371452,tran_SchGtKttmmTtVt_3,Sch,Fri Feb 13 10:14:32 2026,False
27,59.928320855880735,0.661468865480185,0.989297809087783,735.6021526228604,1.2370341162978375,0.9874419384767983,tran_SchGtKttmmTtVt_2,Sch,Fri Feb 13 10:14:32 2026,False
