,freq_intercept,freq_slope,freq_rvalue,freq_max_abs_err_per_fs,i_act_25,i_leak_25,name,type,time,OK
0,1.570038837890905,0.006777871429113069,0.9999848036317303,0.003139595313945693,57.71385,34.824940000000005,tran_LayGtKfsTlVh,Lay,Thu Apr 30 11:55:38 2026,False
1,1.413001976410954,0.008591949365963534,0.9907462553473915,0.08259936778104211,66.14121,0.3718886,tran_LayGtKsfTlVh,Lay,Thu Apr 30 11:55:36 2026,True
2,1.9832368173711532,0.009540406049497368,0.9999445017869475,0.0049827771499552885,73.83321,11.34544,tran_LayGtKffTlVh,Lay,Thu Apr 30 11:55:34 2026,False
3,1.1908796688500196,0.005738170523811631,0.9999929683512481,0.0019723885354312027,52.29833,0.5005295,tran_LayGtKssTlVh,Lay,Thu Apr 30 11:55:31 2026,True
4,1.570038837890905,0.006777871429113069,0.9999848036317303,0.003139595313945693,57.71385,34.824940000000005,tran_LayGtKfsThVh,Lay,Thu Apr 30 11:55:30 2026,False
5,1.413001976410954,0.008591949365963534,0.9907462553473915,0.08259936778104211,66.14121,0.3718886,tran_LayGtKsfThVh,Lay,Thu Apr 30 11:55:28 2026,True
6,1.9832368173711532,0.009540406049497368,0.9999445017869475,0.0049827771499552885,73.83321,11.34544,tran_LayGtKffThVh,Lay,Thu Apr 30 11:55:26 2026,False
7,1.1908796688500196,0.005738170523811631,0.9999929683512481,0.0019723885354312027,52.29833,0.5005295,tran_LayGtKssThVh,Lay,Thu Apr 30 11:55:24 2026,True
8,1.5874162539536636,0.006620909988361241,0.9999644170567947,0.004538268479668946,49.20521,25.00002,tran_LayGtKfsTlVl,Lay,Thu Apr 30 11:55:22 2026,False
9,1.4736630353109397,0.007705251299397268,0.9998713231070695,0.0073471408340836245,56.85199,0.5501924,tran_LayGtKsfTlVl,Lay,Thu Apr 30 11:55:21 2026,True
10,1.9950020948475282,0.009463576536759484,0.9999608410084263,0.004369621431913515,63.409200000000006,8.262132000000001,tran_LayGtKffTlVl,Lay,Thu Apr 30 11:55:19 2026,False
11,1.203866413103496,0.005623568893353701,0.9999991898286781,0.0006780492515870114,44.719969999999996,0.39962349999999996,tran_LayGtKssTlVl,Lay,Thu Apr 30 11:55:18 2026,True
12,1.5874162539536636,0.006620909988361241,0.9999644170567947,0.004538268479668946,49.20521,25.00002,tran_LayGtKfsThVl,Lay,Thu Apr 30 11:55:16 2026,False
13,1.4736630353109397,0.007705251299397268,0.9998713231070695,0.0073471408340836245,56.85199,0.5501924,tran_LayGtKsfThVl,Lay,Thu Apr 30 11:55:15 2026,True
14,1.9950020948475282,0.009463576536759484,0.9999608410084263,0.004369621431913515,63.409200000000006,8.262132000000001,tran_LayGtKffThVl,Lay,Thu Apr 30 11:55:08 2026,False
15,1.203866413103496,0.005623568893353701,0.9999991898286781,0.0006780492515870114,44.719969999999996,0.39962349999999996,tran_LayGtKssThVl,Lay,Thu Apr 30 11:55:07 2026,True
