,freq_intercept,freq_slope,freq_rvalue,freq_max_abs_err_per_fs,i_act_25,i_leak_25,name,type,time,OK
0,1.7111198559135263,0.0078111996910743345,0.9999970324607921,0.0013237361194713946,59.21805,0.7436174,tran_LayGtKttmmTtVt_29,Lay,Thu Apr 30 17:01:38 2026,True
1,1.4540311881823358,0.0056400414458269545,0.9996831125674877,0.012474581003431672,57.10166,0.775771,tran_LayGtKttmmTtVt_28,Lay,Thu Apr 30 17:01:36 2026,True
2,1.7563378145063278,0.0068571455855337944,0.9999856448100779,0.0024090230045707302,57.025999999999996,0.7230349,tran_LayGtKttmmTtVt_27,Lay,Thu Apr 30 17:01:35 2026,True
3,0.9093900072786317,0.005846335638920601,0.9996860834408605,0.011876378321460103,53.706360000000004,0.7653749999999999,tran_LayGtKttmmTtVt_26,Lay,Thu Apr 30 17:01:34 2026,False
4,2.0343682176091042,0.006624262232056988,0.9999716567701276,0.0036825897523509042,57.48055,0.7369469,tran_LayGtKttmmTtVt_25,Lay,Thu Apr 30 17:01:32 2026,True
5,0.8249932140640077,0.006111751970787771,0.9997868374318638,0.009853686474259039,53.54419,0.8241782,tran_LayGtKttmmTtVt_24,Lay,Thu Apr 30 17:01:31 2026,False
6,1.907408673411217,0.006998860913111643,0.9999558737194043,0.004415186292678086,59.905750000000005,0.7939733,tran_LayGtKttmmTtVt_23,Lay,Thu Apr 30 17:01:29 2026,True
7,2.8370704989038,0.006661448669776039,0.999984531947067,0.0030399800585462237,62.617670000000004,0.9807274,tran_LayGtKttmmTtVt_22,Lay,Thu Apr 30 17:01:28 2026,True
8,1.20636062507814,0.006788326206182826,0.9999227742290858,0.005725830417570646,56.78171,1.0516990000000002,tran_LayGtKttmmTtVt_21,Lay,Thu Apr 30 17:01:26 2026,False
9,1.6611839002920687,0.006716213525480002,0.9999203386190469,0.005904339596098098,58.422830000000005,0.7967286,tran_LayGtKttmmTtVt_20,Lay,Thu Apr 30 17:01:24 2026,True
10,0.5464711082840785,0.005443638864850545,0.9994575762498948,0.015316117024111805,50.71806,0.6551066,tran_LayGtKttmmTtVt_19,Lay,Thu Apr 30 17:01:23 2026,False
11,1.5291895675643106,0.008190275633669843,0.9999815465803384,0.0031914400062723306,58.6272,0.7321688,tran_LayGtKttmmTtVt_18,Lay,Thu Apr 30 17:01:21 2026,True
